trans_id,lang,translation
広島高等技術専門校,ja-Hrkt,ひろしまこうとうぎじゅつせんもんこうまえ
広島高等技術専門校,en,Hiroshima Kotogijutsu Senmonko-mae (Hiroshima Vocational Training Center)
広島高等技術専門校,ko,히로시마 코토 기주쓰 센몬코 마에
広島高等技術専門校,zh-cn,广岛高等技术专科学校前
広島高等技術専門校,zh-tw,廣島高等技術專科學校前
広島高等技術専門校前,ja,広島高等技術専門校前
広島高等技術専門校前,ja-Hrkt,ひろしまこうとうぎじゅつせんもんこうまえ
広島高等技術専門校前,en,Hiroshima Kotogijutsu Senmonko-mae (Hiroshima Vocational Training Center)
広島高等技術専門校前,ko,히로시마 코토 기주쓰 센몬코 마에
広島高等技術専門校前,zh-cn,广岛高等技术专科学校前
広島高等技術専門校前,zh-tw,廣島高等技術專科學校前
美鈴モール前,ja,美鈴モール前
美鈴モール前,ja-Hrkt,みすずもーるまえ
美鈴モール前,en,Misuzu Mall-mae
美鈴モール前,ko,미스즈 몰 마에
美鈴モール前,zh-cn,美铃购物中心前
美鈴モール前,zh-tw,美鈴購物中心前
高井上,ja,高井上
高井上,ja-Hrkt,たかいかみ
高井上,en,Takai-kami
高井上,ko,다카이 카미
高井上,zh-cn,高井上
高井上,zh-tw,高井上
美鈴が丘東三丁目,ja,美鈴が丘東三丁目
美鈴が丘東三丁目,ja-Hrkt,みすずがおかひがしさんちょうめ
美鈴が丘東三丁目,en,Misuzugaoka-higashi-sanchome (Misuzugaoka-higashi 3)
美鈴が丘東三丁目,ko,미스즈가오카 히가시 3초메
美鈴が丘東三丁目,zh-cn,美铃丘东三丁目
美鈴が丘東三丁目,zh-tw,美鈴丘東三丁目
美鈴東三丁目,ja,美鈴東三丁目
美鈴東三丁目,ja-Hrkt,みすずがおかひがしさんちょうめ
美鈴東三丁目,en,Misuzugaoka-higashi-sanchome (Misuzugaoka-higashi 3)
美鈴東三丁目,ko,미스즈가오카 히가시 3초메
美鈴東三丁目,zh-cn,美铃丘东三丁目
美鈴東三丁目,zh-tw,美鈴丘東三丁目
山田団地下,ja,山田団地下
山田団地下,ja-Hrkt,やまだだんちしも
山田団地下,en,Yamada Danchi-shimo
山田団地下,ko,야마다 단치 시모
山田団地下,zh-cn,山田团地下
山田団地下,zh-tw,山田團地下
山田団地,ja,山田団地
山田団地,ja-Hrkt,やまだだんち
山田団地,en,Yamada Danchi
山田団地,ko,야마다 단치
山田団地,zh-cn,山田团地
山田団地,zh-tw,山田團地
山田団地車庫前,ja,山田団地車庫前
山田団地車庫前,ja-Hrkt,やまだだんちしゃこまえ
山田団地車庫前,en,Yamada Danchi Shako-mae (Yamada Danchi Depot)
山田団地車庫前,ko,야마다 단지 차고
山田団地車庫前,zh-cn,山田团地车库前
山田団地車庫前,zh-tw,山田團地車庫前
波出石,ja,波出石
波出石,ja-Hrkt,はでいし
波出石,en,Hadeishi
波出石,ko,하데이시
波出石,zh-cn,波出石
波出石,zh-tw,波出石
坪井,ja,坪井
坪井,ja-Hrkt,つぼい
坪井,en,Tsuboi
坪井,ko,쓰보이
坪井,zh-cn,坪井
坪井,zh-tw,坪井
ジ アウトレット 広島,ja,ジ アウトレット 広島
ジ アウトレット 広島,ja-Hrkt,じあうとれっとひろしま
ジ アウトレット 広島,en,THE OUTLETS HIROSHIMA
